Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,783.65,783.65,783.65,783.65,000,783.65
2015-12-14,761.08,761.08,761.08,761.08,000,761.08
2015-12-11,777.17,777.17,777.17,777.17,000,777.17
2015-12-10,792.78,792.78,792.78,792.78,000,792.78
2015-12-08,777.15,777.15,777.15,777.15,000,777.15
2015-12-07,793.36,793.36,793.36,793.36,000,793.36
2015-12-04,811.72,811.72,811.72,811.72,000,811.72
2015-12-03,826.96,826.96,826.96,826.96,000,826.96
2015-12-02,833.94,833.94,833.94,833.94,000,833.94
2015-11-27,856.30,856.30,856.30,856.30,000,856.30
2015-11-26,874.66,874.66,874.66,874.66,000,874.66
2015-11-25,878.89,878.89,878.89,878.89,000,878.89
2015-11-24,867.54,867.54,867.54,867.54,000,867.54
2015-11-23,897.56,897.56,897.56,897.56,000,897.56
2015-11-13,814.93,814.93,814.93,814.93,000,814.93
2015-11-12,831.95,831.95,831.95,831.95,000,831.95
2015-11-09,855.26,855.26,855.26,855.26,000,855.26
2015-11-06,854.34,854.34,854.34,854.34,000,854.34
2015-11-05,877.26,877.26,877.26,877.26,000,877.26
2015-11-03,886.36,886.36,886.36,886.36,000,886.36
2015-10-30,845.54,845.54,845.54,845.54,000,845.54
2015-10-29,839.57,839.57,839.57,839.57,000,839.57
2015-10-28,854.74,854.74,854.74,854.74,000,854.74
2015-10-27,839.26,839.26,839.26,839.26,000,839.26
2015-10-26,858.01,858.01,858.01,858.01,000,858.01
2015-10-23,872.86,872.86,872.86,872.86,000,872.86
2015-10-22,860.75,860.75,860.75,860.75,000,860.75
2015-10-21,856.88,856.88,856.88,856.88,000,856.88
2015-10-20,875.55,875.55,875.55,875.55,000,875.55
2015-10-19,868.72,868.72,868.72,868.72,000,868.72
2015-10-15,876.23,876.23,876.23,876.23,000,876.23
2015-10-14,863.31,863.31,863.31,863.31,000,863.31
2015-10-13,866.52,866.52,866.52,866.52,000,866.52
2015-10-12,876.42,876.42,876.42,876.42,000,876.42
2015-10-09,885.96,885.96,885.96,885.96,000,885.96
2015-10-08,856.44,856.44,856.44,856.44,000,856.44
2015-10-07,844.12,844.12,844.12,844.12,000,844.12
2015-10-06,826.65,826.65,826.65,826.65,000,826.65
2015-10-05,805.12,805.12,805.12,805.12,000,805.12
2015-10-02,764.93,764.93,764.93,764.93,000,764.93
2015-09-30,789.73,789.73,789.73,789.73,000,789.73
2015-09-29,784.11,784.11,784.11,784.11,000,784.11
2015-09-28,775.73,775.73,775.73,775.73,000,775.73
2015-09-25,788.55,788.55,788.55,788.55,000,788.55
2015-09-24,769.38,769.38,769.38,769.38,000,769.38
2015-09-23,782.07,782.07,782.07,782.07,000,782.07
2015-09-22,789.56,789.56,789.56,789.56,000,789.56
2015-09-21,808.78,808.78,808.78,808.78,000,808.78
2015-09-18,816.56,816.56,816.56,816.56,000,816.56
2015-09-17,823.13,823.13,823.13,823.13,000,823.13
2015-09-16,837.39,837.39,837.39,837.39,000,837.39
2015-09-15,807.52,807.52,807.52,807.52,000,807.52
2015-09-14,808.61,808.61,808.61,808.61,000,808.61
2015-09-11,799.10,799.10,799.10,799.10,000,799.10
2015-09-10,800.49,800.49,800.49,800.49,000,800.49
2015-09-09,796.69,796.69,796.69,796.69,000,796.69
2015-09-08,793.99,793.99,793.99,793.99,000,793.99
2015-09-07,776.17,776.17,776.17,776.17,000,776.17
2015-09-04,793.65,793.65,793.65,793.65,000,793.65
2015-09-03,805.23,805.23,805.23,805.23,000,805.23
2015-09-02,789.39,789.39,789.39,789.39,000,789.39
2015-09-01,805.06,805.06,805.06,805.06,000,805.06
2015-08-31,833.60,833.60,833.60,833.60,000,833.60
2015-08-28,829.95,829.95,829.95,829.95,000,829.95
2015-08-27,804.86,804.86,804.86,804.86,000,804.86
2015-08-26,754.61,754.61,754.61,754.61,000,754.61
2015-08-25,758.46,758.46,758.46,758.46,000,758.46
2015-08-24,724.73,724.73,724.73,724.73,000,724.73
2015-08-21,762.38,762.38,762.38,762.38,000,762.38
2015-08-20,795.51,795.51,795.51,795.51,000,795.51
2015-08-19,794.19,794.19,794.19,794.19,000,794.19
2015-08-18,809.64,809.64,809.64,809.64,000,809.64
2015-08-17,825.12,825.12,825.12,825.12,000,825.12
